stimulus_type,stimulus_name,face,music,odor,hedo_rt,hedo,emo_rt,emo,fam_rt,fam,compl_rt,compl,subject,hedo_scaled,hedo_zscore,emo_scaled,emo_zscore,fam_scaled,fam_zscore,compl_scaled,compl_zscore,version
odor,13,,,13.0,4733.0,22.0,1346.0,174.0,1565.0,412.0,1766.0,378.0,S03-CBS,5.44,-0.0299023652598883,3.4799999999999995,-0.7362567395360297,8.24,1.2631157671455742,7.56,1.0037961684966366,1.0
music,M12,,M12,,983.0,-122.0,1873.0,170.0,2993.0,312.0,,,S03-CBS,2.56,-1.1431455441060738,3.4000000000000004,-0.7778373536613334,6.24,0.5108387061419173,,,1.0
face,V01,V01,,,2245.0,19.0,1998.0,222.0,2074.0,69.0,2412.0,172.0,S03-CBS,5.380000000000001,-0.0530949314858505,4.44,-0.237289370032383,1.38,-1.3171945520969692,3.4399999999999995,-0.8232228340683672,1.0
face,V04,V04,,,1609.0,236.0,1178.0,431.0,1744.0,440.0,2177.0,425.0,S03-CBS,9.72,1.6245006921920817,8.62,1.9352977180147448,8.8,1.4737533442265982,8.5,1.420640309858555,1.0
odor,8,,,8.0,1407.0,-167.0,817.0,186.0,1969.0,404.0,1746.0,380.0,S03-CBS,1.66,-1.491034037495507,3.72,-0.611514897160118,8.08,1.2029336022652817,7.6,1.0215342170652288,1.0
face,V05,V05,,,1344.0,-76.0,1015.0,227.0,2682.0,23.0,2477.0,449.0,S03-CBS,3.4799999999999995,-0.7875261953079867,4.54,-0.1853136023757532,0.4599999999999999,-1.6632420001586514,8.98,1.6334968926816622,1.0
odor,16,,,16.0,2146.0,125.0,1556.0,321.0,2618.0,416.0,2390.0,402.0,S03-CBS,7.5,0.7663757418314804,6.42,0.791830829568888,8.32,1.2932068495857203,8.040000000000001,1.2166527513197438,1.0
face,V13,V13,,,1918.0,90.0,1287.0,355.0,1099.0,416.0,1000.0,366.0,S03-CBS,6.800000000000001,0.4957958025285881,7.1,1.1452660496339708,8.32,1.2932068495857203,7.32,0.897367877085083,1.0
odor,12,,,12.0,3477.0,32.0,1679.0,305.0,1639.0,359.0,2422.0,311.0,S03-CBS,5.64,0.0474061888266522,6.1,0.6255083730676724,7.18,0.8644089248136361,6.22,0.4095715414487956,1.0
odor,10,,,10.0,1596.0,-211.0,1487.0,153.0,2430.0,44.0,3302.0,418.0,S03-CBS,0.78,-1.8311916754762856,3.06,-0.9545549636938748,0.8799999999999999,-1.5052638173478836,8.36,1.358557139868482,1.0
music,M02,,M02,,2374.0,155.0,1024.0,365.0,2064.0,158.0,3419.0,379.0,S03-CBS,8.100000000000001,0.9983014040911022,7.3,1.249217584947231,3.16,-0.6476679678037145,7.58,1.0126651927809327,1.0
face,V12,V12,,,3574.0,174.0,1295.0,315.0,1290.0,59.0,1846.0,334.0,S03-CBS,8.48,1.1451876568555297,6.3,0.7294599083809321,1.18,-1.392422258197335,6.680000000000001,0.6135590999876067,1.0
face,V09,V09,,,2737.0,95.0,1807.0,162.0,999.0,89.0,1308.0,90.0,S03-CBS,6.9,0.5344500795718584,3.24,-0.8609985819119412,1.7799999999999998,-1.166739139896238,1.7999999999999998,-1.5504828253806502,1.0
odor,9,,,9.0,3852.0,52.0,,,2396.0,368.0,1898.0,327.0,S03-CBS,6.04,0.2020232969997336,,,7.359999999999999,0.9321138603039651,6.54,0.5514759299975337,1.0
face,V15,V15,,,1654.0,-80.0,1703.0,98.0,2541.0,87.0,975.0,5.0,S03-CBS,3.4000000000000004,-0.8184496169426031,1.96,-1.526288407916803,1.7399999999999998,-1.181784681116311,0.1,-2.3043498895458217,1.0
music,M06,,M06,,957.0,-143.0,1455.0,141.0,2138.0,55.0,2958.0,205.0,S03-CBS,2.14,-1.3054935076878094,2.82,-1.0792968060697865,1.1,-1.4225133406374812,4.1,-0.5305450326865947,1.0
